game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
107.600,663.455,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
107.700,663.555,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
107.800,663.655,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
107.897,663.752,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
108.000,663.855,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
108.100,663.955,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
108.180,664.035,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
108.294,664.149,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
108.400,664.255,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
108.482,664.336,-6.483,10.359,2.126,0.000,0.008,1.693,0.000,1.180,1.679,1.365,0.000,0.000,2.955,2.000,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-6.736,10.455,0.451,5.833,3.408,5.729,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-6.457,10.628,0.451,5.864,3.457,5.598,
