game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
11.280,16.367,1.179,-10.003,1.853,0.186,0.130,3.667,0.000,1.562,1.681,0.000,4.395,2.299,1.822,0.000,3.705,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.001,1.002,1.569,1.568,4.088,6.281,1.199,4.711,0.000,0.000,0.698,-9.528,0.990,4.997,4.691,4.732,5.281,4.711,4.710,2.198,6.282,5.083,1.570,0.000,0.000,1.328,-9.346,0.990,4.996,4.697,4.726,
11.380,16.467,1.178,-10.000,1.838,-0.051,5.684,3.647,0.000,1.589,1.662,0.000,4.639,2.328,1.824,0.000,3.721,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.001,1.003,1.568,1.567,4.086,6.281,1.199,4.712,0.000,0.000,0.704,-9.518,0.990,4.982,4.693,4.730,5.281,4.711,4.710,2.198,6.282,5.083,1.570,0.000,0.000,1.337,-9.345,0.990,4.982,4.694,4.730,
11.480,16.567,1.179,-10.006,1.770,-0.090,4.965,3.589,0.000,1.710,1.591,3.520,4.993,2.466,1.832,1.643,3.831,0.000,2.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.280,0.001,1.004,1.568,1.566,4.085,6.281,1.199,4.712,0.000,0.000,0.739,-9.494,0.990,4.915,4.690,4.732,5.281,4.711,4.709,2.197,6.282,5.083,1.570,0.000,0.000,1.382,-9.363,0.990,4.914,4.688,4.735,
11.580,16.667,1.173,-9.965,1.658,0.798,5.814,3.484,0.000,2.034,1.493,2.782,4.966,2.775,1.872,1.559,3.499,0.000,2.896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.277,6.283,1.008,1.568,1.568,4.077,6.281,1.199,4.712,0.000,0.000,0.794,-9.409,0.990,4.801,4.704,4.721,5.283,4.711,4.711,2.197,6.282,5.083,1.571,0.000,0.000,1.447,-9.349,0.991,4.801,4.675,4.750,
11.669,16.757,1.165,-9.878,1.646,1.348,6.261,3.393,0.000,2.174,1.477,2.711,0.000,2.824,1.885,1.559,3.422,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.279,6.283,1.006,1.568,1.567,4.080,6.281,1.199,4.712,0.000,0.000,0.792,-9.317,0.990,4.790,4.688,4.736,5.282,4.710,4.710,2.197,6.282,5.083,1.570,0.000,0.000,1.446,-9.266,0.991,4.790,4.656,4.768,
11.780,16.867,1.154,-9.721,1.647,1.136,6.263,3.235,0.000,1.826,1.464,2.690,0.000,2.840,1.897,0.000,3.751,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.001,1.002,1.570,1.571,4.089,6.281,1.200,4.712,0.000,0.000,0.782,-9.157,0.989,4.787,4.619,4.805,5.281,4.712,4.713,2.198,6.282,5.083,1.570,0.000,0.000,1.436,-9.108,0.990,4.787,4.651,4.773,
11.880,16.967,1.147,-9.634,1.647,0.554,0.066,3.148,0.000,1.774,1.457,2.678,0.000,2.849,1.904,0.000,3.649,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.003,0.001,1.000,1.571,1.571,4.092,6.281,1.200,4.712,0.000,0.000,0.776,-9.069,0.989,4.787,4.595,4.828,5.281,4.712,4.713,2.198,6.282,5.083,1.570,0.000,0.000,1.430,-9.021,0.990,4.787,4.644,4.780,
11.971,17.059,1.146,-9.620,1.646,-0.104,6.254,3.133,0.000,1.765,1.453,2.670,0.000,2.855,1.905,0.000,3.635,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.002,0.001,1.000,1.570,1.571,4.091,6.281,1.200,4.712,0.000,0.000,0.775,-9.055,0.989,4.786,4.602,4.821,5.281,4.712,4.713,2.198,6.282,5.083,1.570,0.000,0.000,1.429,-9.008,0.990,4.786,4.644,4.780,
12.080,17.167,1.147,-9.650,1.568,-0.255,4.888,3.150,0.000,1.744,1.467,2.360,0.000,3.149,1.945,1.533,3.863,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.280,0.000,1.004,1.568,1.565,4.084,6.282,1.199,4.711,0.000,0.000,0.818,-9.061,0.990,4.716,3.627,5.796,5.281,4.710,4.709,2.198,6.282,5.083,1.570,0.000,0.000,1.474,-9.062,0.990,4.717,3.309,6.114,
12.162,17.249,1.146,-9.670,1.455,-0.429,4.784,3.185,3.172,1.719,1.544,2.036,0.000,3.466,2.033,1.488,4.254,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.001,1.001,1.571,1.571,4.091,6.281,1.199,4.712,0.000,0.000,0.889,-9.045,0.989,4.830,1.638,1.503,5.281,4.713,4.714,2.199,6.282,5.083,1.570,0.000,0.000,1.541,-9.123,0.991,4.831,1.600,1.541,
