game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
12.187,17.960,1.566,-10.205,1.428,0.909,1.011,3.734,4.238,2.348,1.787,2.600,4.755,2.809,1.592,1.458,4.488,0.000,2.931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,1.325,-9.575,0.990,4.855,1.606,1.535,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,1.975,-9.668,0.991,4.856,1.594,1.547,
12.300,18.073,1.577,-10.117,1.516,0.902,1.025,3.619,4.007,2.341,1.837,2.906,4.802,2.607,1.521,1.477,4.610,0.000,2.896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.281,1.199,4.712,0.000,0.000,1.281,-9.511,0.990,4.767,1.656,1.485,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,1.936,-9.546,0.991,4.768,1.632,1.509,
12.386,18.159,1.580,-10.027,1.605,0.922,1.029,3.532,0.000,2.695,1.897,3.308,4.887,2.299,1.475,1.092,4.217,0.000,2.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.569,4.085,6.281,1.199,4.712,0.000,0.000,1.231,-9.450,0.990,4.747,4.577,4.847,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,1.887,-9.427,0.991,4.746,4.614,4.810,
12.500,18.273,1.578,-9.973,1.689,0.084,0.815,3.505,0.000,2.431,1.967,3.824,4.962,2.088,1.448,1.133,3.950,0.000,2.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.006,0.001,0.998,1.572,1.573,4.095,6.281,1.200,4.712,0.000,0.000,1.184,-9.423,0.989,4.826,4.628,4.795,5.280,4.714,4.715,2.199,6.282,5.083,1.570,0.000,0.000,1.836,-9.349,0.990,4.826,4.673,4.751,
12.600,18.373,1.580,-9.987,1.743,-0.382,0.869,3.551,0.000,2.246,2.026,0.000,4.986,1.973,1.433,1.163,3.859,0.000,2.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.004,0.000,1.000,1.571,1.572,4.090,6.281,1.200,4.712,0.000,0.000,1.157,-9.461,0.990,4.881,4.672,4.751,5.280,4.713,4.714,2.200,6.282,5.083,1.570,0.000,0.000,1.804,-9.351,0.991,4.881,4.693,4.730,
12.700,18.473,1.586,-10.019,1.853,-0.073,1.206,3.684,0.000,1.955,2.183,0.000,2.859,1.785,1.414,1.237,3.722,0.000,2.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.000,6.283,1.004,1.569,1.568,4.083,6.281,1.199,4.712,0.000,0.000,1.106,-9.546,0.990,4.996,4.703,4.721,5.282,4.711,4.711,2.199,6.282,5.083,1.570,0.000,0.000,1.736,-9.363,0.991,4.995,4.704,4.720,
12.800,18.573,1.588,-10.026,1.936,-0.275,1.035,3.801,0.000,1.806,2.333,0.000,2.847,1.681,1.414,1.314,3.638,0.000,2.545,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.005,0.001,1.000,1.571,1.572,4.092,6.281,1.200,4.712,0.000,0.000,1.072,-9.590,0.989,5.075,4.690,4.733,5.280,4.713,4.715,2.200,6.282,5.083,1.570,0.000,0.000,1.686,-9.358,0.991,5.074,4.703,4.720,
12.900,18.673,1.622,-10.111,1.986,-1.242,0.199,3.978,2.766,1.821,2.488,4.881,2.813,1.591,1.386,1.327,3.683,0.000,2.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.004,0.001,0.999,1.570,1.571,4.093,6.280,1.200,4.712,0.000,0.000,1.084,-9.702,0.989,5.125,4.691,4.731,5.280,4.712,4.713,2.199,6.282,5.083,1.570,0.000,0.000,1.685,-9.439,0.990,5.126,4.702,4.721,
13.000,18.773,1.666,-10.211,1.987,-1.409,6.280,4.090,2.428,1.866,2.550,4.778,2.705,1.539,1.342,1.268,3.785,0.000,2.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,1.128,-9.805,0.990,5.128,4.700,4.723,5.281,4.711,4.712,2.199,6.282,5.083,1.570,0.000,0.000,1.728,-9.540,0.990,5.128,4.702,4.721,
13.100,18.873,1.722,-10.336,1.987,-0.886,6.278,4.227,2.539,1.922,2.626,4.651,2.568,1.475,1.286,1.193,3.912,0.000,2.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.281,6.283,1.005,1.569,1.568,4.082,6.281,1.199,4.712,0.000,0.000,1.182,-9.931,0.990,5.131,4.705,4.719,5.281,4.711,4.710,2.198,6.282,5.083,1.570,0.000,0.000,1.782,-9.665,0.990,5.130,4.702,4.721,
