game_time,self_name,other_name,relative_speed,
16.988,gopher/chassis_link,floor,0.000,
26.500,gopher/left_arm_robotiq_arg2f_base_link,Male Nurse(Clone),1.006,
26.991,gopher/left_arm_gripper_right,Male Nurse(Clone),8.013,
37.100,gopher/right_arm_forearm_link,Hospital Bed (1),1.007,
48.986,gopher/right_arm_forearm_link,Hospital Bed (4),0.995,
51.000,gopher/right_arm_forearm_link,Hospital Bed (4),0.602,
51.400,gopher/right_arm_forearm_link,Hospital Bed (4),0.044,
52.000,gopher/right_arm_half_arm_2_link,Hospital Bed (4),0.077,
65.885,gopher/right_arm_forearm_link,Service Cart,0.858,
67.800,gopher/right_arm_forearm_link,Service Cart,1.076,
68.600,gopher/right_arm_half_arm_1_link,Service Cart,0.446,
69.090,gopher/right_arm_forearm_link,Service Cart,0.722,
89.692,gopher/right_arm_gripper_left,IV Pole Movable(Clone),0.266,
90.800,gopher/right_arm_gripper_left,IV Pole Movable(Clone),1.008,
93.100,gopher/right_arm_gripper_left,IV Pole Movable(Clone),0.850,
94.884,gopher/right_arm_gripper_right,IV Pole Movable(Clone),0.663,
96.600,gopher/right_arm_gripper_left,IV Pole Movable(Clone),0.653,
98.485,gopher/right_arm_gripper_right,IV Pole Movable(Clone),0.498,
99.600,gopher/right_arm_robotiq_arg2f_base_link,IV Pole Movable(Clone),0.033,
102.100,gopher/right_arm_gripper_right,IV Pole Movable(Clone),0.321,
102.900,gopher/right_arm_robotiq_arg2f_base_link,IV Pole Movable(Clone),0.231,
103.500,gopher/right_arm_gripper_left,IV Pole Movable(Clone),0.225,
105.000,gopher/right_arm_gripper_right,IV Pole Movable(Clone),1.394,
