game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
133.487,142.004,-5.340,9.185,4.852,0.193,6.266,0.000,1.355,1.407,2.152,2.280,0.000,0.000,2.292,0.944,1.221,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.933,8.648,0.990,1.431,1.606,1.605,5.688,4.111,4.554,1.587,5.530,5.219,1.644,0.022,1.000,-5.312,8.491,1.137,1.492,1.192,1.092,
133.600,142.117,-5.337,9.165,4.852,0.193,6.267,0.000,1.342,1.394,2.195,2.309,0.000,0.000,2.313,0.947,1.197,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.930,8.627,0.990,1.431,1.606,1.605,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.309,8.470,1.137,1.492,1.194,1.094,
133.699,142.216,-5.335,9.147,4.852,0.193,6.267,0.000,1.330,1.382,2.232,2.333,0.000,0.000,3.803,0.950,1.177,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.927,8.610,0.990,1.430,1.606,1.604,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.306,8.452,1.137,1.491,1.196,1.096,
133.800,142.317,-5.332,9.129,4.853,0.194,6.267,0.000,1.319,1.371,2.268,2.357,0.000,0.000,3.806,0.953,1.157,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.924,8.592,0.990,1.430,1.606,1.604,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.303,8.435,1.137,1.491,1.197,1.097,
133.900,142.417,-5.330,9.112,4.853,0.193,6.267,0.000,1.308,1.359,2.304,2.381,0.000,0.000,3.808,0.956,1.137,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.922,8.575,0.990,1.430,1.606,1.604,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.301,8.417,1.137,1.491,1.199,1.099,
133.983,142.500,-5.328,9.098,4.853,0.193,6.267,0.000,1.299,1.350,2.333,2.400,0.000,0.000,3.810,0.958,1.121,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.920,8.561,0.990,1.429,1.606,1.604,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.299,8.403,1.137,1.491,1.200,1.100,
134.100,142.617,-5.325,9.077,4.854,0.193,6.267,0.000,1.285,1.336,2.376,2.429,0.000,0.000,3.813,0.962,1.097,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.916,8.540,0.990,1.429,1.605,1.604,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.295,8.382,1.137,1.490,1.202,1.102,
134.199,142.716,-5.323,9.060,4.854,0.193,6.268,0.000,1.274,1.324,2.412,2.453,0.000,0.000,3.815,0.965,1.078,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.914,8.523,0.990,1.429,1.605,1.604,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.293,8.365,1.137,1.490,1.203,1.103,
134.300,142.817,-5.320,9.042,4.854,0.193,6.267,0.000,1.273,1.313,2.449,2.478,0.000,0.000,3.817,0.968,1.058,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.911,8.505,0.990,1.428,1.605,1.604,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.290,8.347,1.137,1.490,1.205,1.105,
134.400,142.917,-5.318,9.025,4.855,0.193,6.268,0.000,1.269,1.301,2.485,2.502,0.000,0.000,3.297,0.971,0.982,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-4.908,8.488,0.990,1.428,1.605,1.604,5.688,4.111,4.554,1.586,5.530,5.219,1.644,0.022,1.000,-5.287,8.330,1.137,1.489,1.206,1.106,
